Generation,Train_fitness,Validation_fitness
1,-537.6440390725593,-563.2821583132588
2,-489.28666186550026,-517.8225640238875
3,-395.7774498294815,-406.0352318548034
4,-341.3072094989591,-343.43516296967556
5,-303.84537676429954,-306.735868476138
6,-221.44235831102728,-235.89561836943952
7,-139.99486540537785,-156.81722237532693
8,-139.99486540537785,-156.81722237532693
9,-111.45481451014862,-120.58343224756872
10,-96.00013720420878,-104.45847312886701
11,-89.83961796095771,-98.03578238743906
12,-42.73788641638461,-48.34485946760248
13,-42.73788641638461,-48.34485946760248
14,-36.929775304617486,-42.09695870967383
15,-36.929775304617486,-42.09695870967383
16,-36.929775304617486,-42.09695870967383
17,-36.929775304617486,-42.09695870967383
18,-36.929775304617486,-42.09695870967383
19,-36.929775304617486,-42.09695870967383
20,-29.865182378666283,-35.42042019736882
21,-26.31313634953934,-28.48791866314741
22,-26.31313634953934,-28.48791866314741
23,-26.31313634953934,-28.48791866314741
24,-26.31313634953934,-28.48791866314741
25,-26.31313634953934,-28.48791866314741
26,-19.72683734123345,-24.605765043688184
27,-19.72683734123345,-24.605765043688184
28,-14.98161273158944,-17.226294768768042
29,-14.98161273158944,-17.226294768768042
30,-14.280723483972094,-16.69146831735501
31,-14.280723483972094,-16.69146831735501
32,-14.280723483972094,-16.69146831735501
33,-14.280723483972094,-16.69146831735501
34,-14.280723483972094,-16.69146831735501
35,-14.280723483972094,-16.69146831735501
36,-14.280723483972094,-16.69146831735501
37,-14.280723483972094,-16.69146831735501
38,-14.280723483972094,-16.69146831735501
39,-14.280723483972094,-16.69146831735501
40,-14.280723483972094,-16.69146831735501
41,-14.280723483972094,-16.69146831735501
42,-14.280723483972094,-16.69146831735501
43,-14.280723483972094,-16.69146831735501
44,-14.280723483972094,-16.69146831735501
45,-14.280723483972094,-16.69146831735501
46,-13.805847771596731,-16.77671383356261
47,-13.805847771596731,-16.77671383356261
48,-13.805847771596731,-16.77671383356261
49,-13.805847771596731,-16.77671383356261
50,-13.805847771596731,-16.77671383356261
51,-13.805847771596731,-16.77671383356261
52,-13.805847771596731,-16.77671383356261
53,-13.805847771596731,-16.77671383356261
54,-13.805847771596731,-16.77671383356261
55,-13.805847771596731,-16.77671383356261
56,-13.805847771596731,-16.77671383356261
57,-13.805847771596731,-16.77671383356261
58,-13.805847771596731,-16.77671383356261
59,-13.805847771596731,-16.77671383356261
60,-12.751845097807697,-15.060391811682042
61,-12.751845097807697,-15.060391811682042
62,-12.751845097807697,-15.060391811682042
63,-12.751845097807697,-15.060391811682042
64,-12.751845097807697,-15.060391811682042
65,-12.751845097807697,-15.060391811682042
66,-12.751845097807697,-15.060391811682042
67,-12.751845097807697,-15.060391811682042
68,-12.751845097807697,-15.060391811682042
69,-12.751845097807697,-15.060391811682042
70,-12.751845097807697,-15.060391811682042
71,-12.751845097807697,-15.060391811682042
72,-12.751845097807697,-15.060391811682042
73,-12.751845097807697,-15.060391811682042
74,-12.751845097807697,-15.060391811682042
75,-12.751845097807697,-15.060391811682042
76,-12.492824464791234,-13.912802361755876
77,-12.492824464791234,-13.912802361755876
78,-12.492824464791234,-13.912802361755876
79,-12.492824464791234,-13.912802361755876
80,-12.492824464791234,-13.912802361755876
81,-12.492824464791234,-13.912802361755876
82,-12.492824464791234,-13.912802361755876
83,-12.492824464791234,-13.912802361755876
84,-12.492824464791234,-13.912802361755876
85,-12.492824464791234,-13.912802361755876
86,-12.492824464791234,-13.912802361755876
87,-12.492824464791234,-13.912802361755876
88,-12.492824464791234,-13.912802361755876
89,-12.492824464791234,-13.912802361755876
90,-12.492824464791234,-13.912802361755876
91,-12.492824464791234,-13.912802361755876
92,-12.492824464791234,-13.912802361755876
93,-12.492824464791234,-13.912802361755876
94,-12.492824464791234,-13.912802361755876
95,-12.492824464791234,-13.912802361755876
96,-12.492824464791234,-13.912802361755876
97,-12.492824464791234,-13.912802361755876
98,-12.492824464791234,-13.912802361755876
99,-12.492824464791234,-13.912802361755876
100,-12.492824464791234,-13.912802361755876
